row_ID,sample_ID,collection_datetime_UTC,variable,value,units,censor_code
1,1,7/8/1980 16:10,BktVol,2000,mL,
12,1,7/8/1980 16:10,NH4,0.25,mg N/L,
20,1,7/8/1980 16:10,NO3,0.46,mg N/L,
6,1,7/8/1980 16:10,SOC,2,mg/L,
7,1,7/8/1980 16:10,SKN,0.25,mg/L,
8,1,7/8/1980 16:10,pH as H+,1.613429934,mol/L,
9,1,7/8/1980 16:10,pH,5.02,standard units,
11,1,7/8/1980 16:10,Precip,1.45,in,
13,1,7/8/1980 16:10,Na,0.25,mg/L,
15,1,7/8/1980 16:10,Mg,0.05,mg/L,
16,1,7/8/1980 16:10,K,0.1,mg/L,
19,1,7/8/1980 16:10,Ca,0.25,mg/L,
2,1,7/8/1980 16:10,TSP,3,ug P/L,
14,1,7/8/1980 16:10,MRP,2,ug P/L,
10,1,7/8/1980 16:10,Pb,10,ug/L,
28,2,7/8/1980 21:15,NO3,0.4,mg N/L,
21,2,7/8/1980 21:15,pH as H+,1.642872689,mol/L,
23,2,7/8/1980 21:15,pH,5.17,standard units,
24,2,7/8/1980 21:15,Precip,0.6,in,
27,2,7/8/1980 21:15,BktVol,500,mL,
29,3,7/22/1980 14:00,NO3,0.35,mg N/L,
36,3,7/22/1980 14:00,NO3,0.64,mg N/L,
45,3,7/22/1980 14:00,NH4,0.19,mg N/L,
31,3,7/22/1980 14:00,pH as H+,1.62924054,mol/L,
32,3,7/22/1980 14:00,pH,5.1,standard units,
33,3,7/22/1980 14:00,Precip,0.95,in,
34,3,7/22/1980 14:00,Precip,0.95,in,
37,3,7/22/1980 14:00,Na,0.04,mg/L,
39,3,7/22/1980 14:00,Mg,0.09,mg/L,
40,3,7/22/1980 14:00,K,0.06,mg/L,
41,3,7/22/1980 14:00,SpCond,51,us/cm,
44,3,7/22/1980 14:00,Ca,0.5,mg/L,
35,3,7/22/1980 14:00,Pb,10,ug/L,
46,4,7/30/1980 12:30,NO3,0.38,mg N/L,
47,4,7/30/1980 12:30,NH4,0.22,mg N/L,
49,4,7/30/1980 12:30,Na,0.14,mg/L,
51,4,7/30/1980 12:30,K,0.04,mg/L,
53,4,7/30/1980 12:30,Mg,0.07,mg/L,
54,4,7/30/1980 12:30,Ca,0.49,mg/L,
50,4,7/30/1980 12:30,Pb,10,ug/L,
62,5,8/6/1980 15:30,NO3,0.64,mg N/L,
63,5,8/6/1980 15:30,NH4,0.33,mg N/L,
71,5,8/6/1980 15:30,NO3,0.57,mg N/L,
57,5,8/6/1980 15:30,pH as H+,1.62924054,mol/L,
58,5,8/6/1980 15:30,pH,5.1,standard units,
59,5,8/6/1980 15:30,Precip,0.72,in,
60,5,8/6/1980 15:30,Precip,0.72,in,
64,5,8/6/1980 15:30,Na,0.35,mg/L,
65,5,8/6/1980 15:30,Mg,0.07,mg/L,
66,5,8/6/1980 15:30,K,0.12,mg/L,
67,5,8/6/1980 15:30,SpCond,30,us/cm,
70,5,8/6/1980 15:30,Ca,0.47,mg/L,
61,5,8/6/1980 15:30,Pb,18,ug/L,
79,6,8/25/1980 16:30,NO3,0.53,mg N/L,
72,6,8/25/1980 16:30,pH,5.1,standard units,
74,6,8/25/1980 16:30,Precip,0.96,in,
75,6,8/25/1980 16:30,pH as H+,1.62924054,mol/L,
76,6,8/25/1980 16:30,SpCond,55,us/cm,
78,6,8/25/1980 16:30,BktVol,1550,mL,
88,7,9/2/1980 12:45,NO3,0.66,mg N/L,
