year,date_in,doy_in,doy_in_negs,date_out,doy_out,cover_days
1908,1/31/1908,31,31,4/6/1908,96,66
1909,1/14/1909,14,14,4/14/1909,104,90
1910,,,,4/12/1910,102,0
1911,,,,4/11/1911,101,0
1912,1/22/1912,22,22,4/12/1912,102,80
1913,1/16/1913,16,16,3/27/1913,87,71
1914,1/14/1914,14,14,4/22/1914,112,98
1915,1/1/1915,1,1,4/12/1915,102,101
1916,2/16/1916,47,47,4/19/1916,109,62
1917,1/12/1917,12,12,4/19/1917,109,97
1918,1/1/1918,1,1,4/14/1918,104,103
1919,,,,,,0
1920,1/6/1920,6,6,4/20/1920,110,104
1921,2/12/1921,43,43,4/8/1921,98,55
1922,1/3/1922,3,3,4/12/1922,102,99
1923,1/7/1923,7,7,4/22/1923,112,105
1924,1/28/1924,28,28,4/14/1924,104,76
1925,1/9/1925,9,9,4/3/1925,93,84
1926,1/16/1926,16,16,4/24/1926,114,98
1927,1/3/1927,3,3,4/8/1927,98,95
1928,1/30/1928,30,30,4/8/1928,98,68
1929,1/27/1929,27,27,4/3/1929,93,66
1930,1/19/1930,19,19,4/8/1930,98,79
1931,1/16/1931,16,16,4/10/1931,100,84
1932,2/29/1932,60,60,4/19/1932,106,46
1933,2/14/1933,45,45,4/14/1933,104,59
1934,1/19/1934,19,19,4/19/1934,109,90
1935,1/5/1935,5,5,4/19/1935,109,104
1936,1/29/1936,29,29,4/6/1936,96,67
1937,2/4/1937,35,35,4/16/1937,106,71
1938,1/13/1938,13,13,4/2/1938,92,79
1939,1/23/1939,23,23,4/25/1939,115,92
1940,1/23/1940,23,23,5/2/1940,122,99
1941,1/10/1941,10,10,4/15/1941,105,95
1942,1/31/1942,31,31,4/5/1942,95,64
1943,1/5/1943,5,5,4/23/1943,113,108
1944,1/2/1944,2,2,4/24/1944,114,112
1945,1/6/1945,6,6,3/28/1945,87,81
1946,1/20/1946,20,20,3/28/1946,87,67
1947,1/13/1947,13,13,4/12/1947,102,89
1948,1/12/1948,12,12,4/3/1948,93,81
1949,2/28/1949,59,59,3/29/1949,88,29
1950,2/8/1950,39,39,4/20/1950,110,71
1951,1/31/1951,31,31,4/11/1951,101,70
1952,1/28/1952,28,28,4/12/1952,102,74
1953,2/5/1953,36,36,4/3/1953,92,56
1954,1/18/1954,18,18,4/12/1954,102,84
1955,1/29/1955,29,29,4/12/1955,102,73
1956,1/25/1956,25,25,4/12/1956,102,77
1957,1/14/1957,14,14,4/9/1957,99,85
1958,1/21/1958,21,21,4/11/1958,101,80
1959,1/9/1959,9,9,4/19/1959,109,100
1960,1/12/1960,12,12,4/22/1960,112,100
1961,1/19/1961,19,19,4/13/1961,103,84
1962,1/22/1962,22,22,4/17/1962,107,85
1963,1/19/1963,19,19,4/15/1963,105,86
1964,1/7/1964,7,7,4/21/1964,111,104
1965,1/15/1965,15,15,4/21/1965,111,96
1966,1/12/1966,12,12,4/15/1966,105,93
1967,2/8/1967,39,39,4/11/1967,101,62
1968,1/9/1968,9,9,4/3/1968,93,84
1969,1/13/1969,13,13,4/13/1969,103,90
1970,1/8/1970,8,8,4/19/1970,109,101
1971,1/9/1971,9,9,5/2/1971,122,113
1972,1/22/1972,22,22,4/29/1972,119,97
1973,1/9/1973,9,9,4/2/1973,92,83
1974,1/18/1974,18,18,4/17/1974,107,89
1975,2/4/1975,35,35,4/19/1975,109,74
1976,1/13/1976,13,13,4/8/1976,98,86
1977,12/28/1976,364,-2,4/9/1977,99,102
1978,1/19/1978,19,19,4/22/1978,112,93
1979,1/11/1979,11,11,3/31/1979,89,78
1980,1/31/1980,31,31,4/11/1980,101,70
1981,12/20/1980,356,-10,4/3/1981,93,104
1982,1/15/1982,15,15,4/16/1982,106,91
1983,2/10/1983,41,41,4/5/1983,95,54
1984,12/24/1983,358,-8,4/23/1984,113,120
1985,1/24/1985,24,24,4/3/1985,93,69
1986,1/25/1986,25,25,4/7/1986,97,72
1987,1/27/1987,27,27,4/6/1987,96,69
1988,2/7/1988,38,38,4/7/1988,97,59
1989,2/3/1989,34,34,4/15/1989,105,71
1990,12/23/1989,357,-9,4/12/1990,102,110
1991,2/18/1991,49,49,3/30/1991,89,40
1992,1/14/1992,14,14,4/20/1992,110,96
1993,1/25/1993,25,25,4/17/1993,107,82
1994,1/10/1994,10,10,4/23/1994,113,103
1995,2/7/1995,38,38,3/30/1995,89,51
1996,1/9/1996,9,9,4/9/1996,99,90
1997,1/19/1997,19,19,4/18/1997,108,89
1998,,,,,,0
1999,1/30/1999,30,30,4/4/1999,94,64
2000,1/27/2000,27,27,3/29/2000,87,60
2001,1/18/2001,18,18,4/22/2001,112,94
2002,,,,,,0
2003,1/18/2003,18,18,4/21/2003,111,93
2004,1/9/2004,9,9,4/14/2004,104,95
2005,1/18/2005,18,18,4/9/2005,99,81
2006,2/23/2006,54,54,4/12/2006,102,48
2007,1/19/2007,19,19,4/22/2007,112,93
2008,1/10/2008,10,10,4/11/2008,101,91
2009,12/30/2008,365,-1,4/4/2009,94,95
2010,1/28/2010,28,28,4/1/2010,91,63
2011,1/23/2011,23,23,4/13/2011,103,80
2012,,,,,,0
2013,,,,,,0
2014,1/23/2014,23,23,4/15/2014,105,82
2015,1/15/2015,15,15,4/15/2015,105,90
2016,,,,,,0
2017,2/13/2017,44,44,2/26/2017,56,12
2018,,,,,,0
2019,1/22/2019,22,22,4/13/2019,103,81
2020,,,,,,0
2021,2/11/2021,42,42,3/27/2021,87,45
2022,1/27/2022,27,27,4/7/2022,97,70
2023,,,,,,0
2024,,,,,,0
